#dtstart,2019-07-30 15:40:19.753
Time,VOLT,Event
0.000,0.310383,,
0.000,0.310383,,
0.001,0.310383,,
0.001,0.310383,,
0.002,0.310383,,
0.002,0.312214,,
0.002,0.314045,,
0.003,0.317707,,
0.003,0.32137,,
0.004,0.326863,,
0.004,0.330526,,
0.004,0.330526,,
0.005,0.328694,,
0.005,0.326863,,
0.006,0.328694,,
0.006,0.332357,,
0.006,0.332357,,
0.007,0.334188,,
0.007,0.339681,,
0.008,0.341513,,
0.008,0.343344,,
0.008,0.345175,,
0.009,0.348837,,
0.009,0.348837,,
0.010,0.347006,,
0.010,0.348837,,
0.010,0.348837,,
0.011,0.348837,,
0.011,0.350668,,
0.012,0.354331,,
0.012,0.354331,,
0.012,0.347006,,
0.013,0.334188,,
0.013,0.319539,,
0.014,0.30672,,
0.014,0.293902,,
0.014,0.281084,,
0.015,0.264604,,
0.015,0.248123,,
0.016,0.235305,,
0.016,0.226149,,
0.016,0.218824,,
0.017,0.213331,,
0.017,0.209669,,
0.018,0.213331,,
0.018,0.224318,,
0.018,0.235305,,
0.019,0.244461,,
0.019,0.253617,,
0.020,0.262772,,
0.020,0.275591,,
0.020,0.29024,,
0.021,0.30672,,
0.021,0.323201,,
0.022,0.336019,,
0.022,0.345175,,
0.022,0.3525,,
0.023,0.361655,,
0.023,0.370811,,
0.024,0.381798,,
0.024,0.387292,,
0.024,0.390954,,
0.025,0.392785,,
0.025,0.390954,,
0.026,0.385461,,
0.026,0.378136,,
0.026,0.372642,,
0.027,0.370811,,
0.027,0.370811,,
0.028,0.370811,,
0.028,0.36898,,
0.028,0.365318,,
0.029,0.356162,,
0.029,0.348837,,
0.030,0.341513,,
0.030,0.339681,,
0.030,0.343344,,
0.031,0.347006,,
0.031,0.347006,,
0.032,0.339681,,
0.032,0.332357,,
0.032,0.325032,,
0.033,0.32137,,
0.033,0.319539,,
0.034,0.319539,,
0.034,0.319539,,
0.034,0.314045,,
0.035,0.30672,,
0.035,0.299396,,
0.036,0.295733,,
0.036,0.292071,,
0.036,0.29024,,
0.037,0.29024,,
0.037,0.293902,,
0.038,0.29024,,
0.038,0.284746,,
0.038,0.281084,,
0.039,0.277422,,
0.039,0.273759,,
0.040,0.275591,,
0.040,0.279253,,
0.040,0.279253,,
0.041,0.277422,,
0.041,0.275591,,
0.042,0.277422,,
0.042,0.279253,,
0.042,0.282915,,
0.043,0.286578,,
0.043,0.293902,,
0.044,0.299396,,
0.044,0.297565,,
0.044,0.297565,,
0.045,0.301227,,
0.045,0.308552,,
0.046,0.315876,,
0.046,0.32137,,
0.046,0.326863,,
0.047,0.332357,,
0.047,0.33785,,
0.048,0.345175,,
0.048,0.354331,,
0.048,0.361655,,
0.049,0.365318,,
0.049,0.367149,,
0.050,0.365318,,
0.050,0.363487,,
0.050,0.365318,,
0.051,0.367149,,
0.051,0.361655,,
0.052,0.356162,,
0.052,0.350668,,
0.052,0.345175,,
0.053,0.339681,,
0.053,0.334188,,
0.054,0.328694,,
0.054,0.319539,,
0.054,0.310383,,
0.055,0.299396,,
0.055,0.29024,,
0.056,0.284746,,
0.056,0.281084,,
0.056,0.281084,,
0.057,0.279253,,
0.057,0.277422,,
0.058,0.277422,,
0.058,0.281084,,
0.058,0.282915,,
0.059,0.284746,,
0.059,0.284746,,
0.060,0.286578,,
0.060,0.29024,,
0.060,0.292071,,
0.061,0.293902,,
0.061,0.295733,,
0.062,0.301227,,
0.062,0.303058,,
0.062,0.303058,,
0.063,0.304889,,
0.063,0.310383,,
0.064,0.314045,,
0.064,0.315876,,
0.064,0.317707,,
0.065,0.32137,,
0.065,0.323201,,
0.066,0.326863,,
0.066,0.332357,,
0.066,0.336019,,
0.067,0.336019,,
0.067,0.336019,,
0.068,0.33785,,
0.068,0.334188,,
0.068,0.326863,,
0.069,0.323201,,
0.069,0.326863,,
0.070,0.332357,,
0.070,0.334188,,
0.070,0.332357,,
0.071,0.328694,,
0.071,0.328694,,
0.072,0.332357,,
0.072,0.334188,,
0.072,0.332357,,
0.073,0.325032,,
0.073,0.32137,,
0.074,0.319539,,
0.074,0.319539,,
0.074,0.323201,,
0.075,0.323201,,
0.075,0.32137,,
0.076,0.317707,,
0.076,0.319539,,
0.076,0.32137,,
0.077,0.319539,,
0.077,0.317707,,
0.078,0.315876,,
0.078,0.315876,,
0.078,0.315876,,
0.079,0.315876,,
0.079,0.310383,,
0.080,0.301227,,
0.080,0.299396,,
0.080,0.301227,,
0.081,0.301227,,
0.081,0.299396,,
0.082,0.299396,,
0.082,0.301227,,
0.082,0.304889,,
0.083,0.310383,,
0.083,0.314045,,
0.084,0.315876,,
0.084,0.315876,,
0.084,0.317707,,
0.085,0.323201,,
0.085,0.334188,,
0.086,0.33785,,
0.086,0.332357,,
0.086,0.328694,,
0.087,0.330526,,
0.087,0.332357,,
0.088,0.330526,,
0.088,0.325032,,
0.088,0.319539,,
0.089,0.319539,,
0.089,0.323201,,
0.090,0.323201,,
0.090,0.315876,,
0.090,0.312214,,
0.091,0.314045,,
0.091,0.317707,,
0.092,0.317707,,
0.092,0.317707,,
0.092,0.315876,,
0.093,0.310383,,
0.093,0.30672,,
0.094,0.310383,,
0.094,0.312214,,
0.094,0.312214,,
0.095,0.310383,,
0.095,0.312214,,
0.096,0.315876,,
0.096,0.317707,,
0.096,0.319539,,
0.097,0.32137,,
0.097,0.323201,,
0.098,0.326863,,
0.098,0.326863,,
0.098,0.325032,,
0.099,0.32137,,
0.099,0.317707,,
0.100,0.315876,,
0.100,0.317707,,
0.100,0.32137,,
0.101,0.325032,,
0.101,0.330526,,
0.102,0.332357,,
0.102,0.328694,,
0.102,0.32137,,
0.103,0.315876,,
0.103,0.315876,,
0.104,0.317707,,
0.104,0.317707,,
0.104,0.319539,,
0.105,0.323201,,
0.105,0.325032,,
0.106,0.323201,,
0.106,0.32137,,
0.106,0.319539,,
0.107,0.319539,,
0.107,0.32137,,
0.108,0.317707,,
0.108,0.312214,,
0.108,0.310383,,
0.109,0.310383,,
0.109,0.308552,,
0.110,0.30672,,
0.110,0.304889,,
0.110,0.301227,,
0.111,0.297565,,
0.111,0.303058,,
0.112,0.312214,,
0.112,0.315876,,
0.112,0.314045,,
0.113,0.312214,,
0.113,0.310383,,
0.114,0.304889,,
0.114,0.299396,,
0.114,0.301227,,
0.115,0.310383,,
0.115,0.317707,,
0.116,0.319539,,
0.116,0.317707,,
0.116,0.315876,,
0.117,0.315876,,
0.117,0.315876,,
0.118,0.315876,,
0.118,0.319539,,
0.118,0.326863,,
0.119,0.332357,,
0.119,0.330526,,
0.120,0.328694,,
0.120,0.326863,,
0.120,0.326863,,
0.121,0.323201,,
0.121,0.32137,,
0.122,0.319539,,
0.122,0.317707,,
0.122,0.315876,,
0.123,0.315876,,
0.123,0.314045,,
0.124,0.310383,,
0.124,0.308552,,
0.124,0.308552,,
0.125,0.310383,,
0.125,0.312214,,
0.126,0.315876,,
0.126,0.315876,,
0.126,0.315876,,
0.127,0.315876,,
0.127,0.317707,,
0.128,0.315876,,
0.128,0.312214,,
0.128,0.310383,,
0.129,0.310383,,
0.129,0.308552,,
0.130,0.308552,,
0.130,0.308552,,
0.130,0.312214,,
0.131,0.314045,,
0.131,0.315876,,
0.132,0.317707,,
0.132,0.317707,,
0.132,0.315876,,
0.133,0.315876,,
0.133,0.315876,,
0.134,0.319539,,
0.134,0.32137,,
0.134,0.319539,,
0.135,0.317707,,
0.135,0.319539,,
0.136,0.325032,,
0.136,0.328694,,
0.136,0.328694,,
0.137,0.325032,,
0.137,0.32137,,
0.138,0.323201,,
0.138,0.325032,,
0.138,0.323201,,
0.139,0.319539,,
0.139,0.323201,,
0.140,0.325032,,
0.140,0.325032,,
0.140,0.325032,,
0.141,0.325032,,
0.141,0.326863,,
0.142,0.330526,,
0.142,0.332357,,
0.142,0.332357,,
0.143,0.328694,,
0.143,0.328694,,
0.144,0.332357,,
0.144,0.332357,,
0.144,0.325032,,
0.145,0.319539,,
0.145,0.317707,,
0.146,0.315876,,
0.146,0.317707,,
0.146,0.319539,,
0.147,0.319539,,
0.147,0.314045,,
0.148,0.310383,,
0.148,0.310383,,
0.148,0.314045,,
0.149,0.317707,,
0.149,0.315876,,
0.150,0.312214,,
0.150,0.312214,,
0.150,0.312214,,
0.151,0.312214,,
0.151,0.314045,,
0.152,0.317707,,
0.152,0.32137,,
0.152,0.32137,,
0.153,0.319539,,
0.153,0.317707,,
0.154,0.317707,,
0.154,0.319539,,
0.154,0.323201,,
0.155,0.325032,,
0.155,0.326863,,
0.156,0.325032,,
0.156,0.32137,,
0.156,0.32137,,
0.157,0.319539,,
0.157,0.315876,,
0.158,0.312214,,
0.158,0.312214,,
0.158,0.315876,,
0.159,0.317707,,
0.159,0.315876,,
0.160,0.312214,,
0.160,0.312214,,
0.160,0.312214,,
0.161,0.312214,,
0.161,0.30672,,
0.162,0.304889,,
0.162,0.304889,,
0.162,0.30672,,
0.163,0.308552,,
0.163,0.310383,,
0.164,0.308552,,
0.164,0.308552,,
0.164,0.308552,,
0.165,0.308552,,
0.165,0.308552,,
0.166,0.308552,,
0.166,0.310383,,
0.166,0.312214,,
0.167,0.314045,,
0.167,0.315876,,
0.168,0.317707,,
0.168,0.319539,,
0.168,0.319539,,
0.169,0.323201,,
0.169,0.326863,,
0.170,0.328694,,
0.170,0.330526,,
0.170,0.332357,,
0.171,0.334188,,
0.171,0.334188,,
0.172,0.332357,,
0.172,0.330526,,
0.172,0.328694,,
0.173,0.326863,,
0.173,0.326863,,
0.174,0.328694,,
0.174,0.330526,,
0.174,0.328694,,
0.175,0.328694,,
0.175,0.328694,,
0.176,0.325032,,
0.176,0.323201,,
0.176,0.319539,,
0.177,0.315876,,
0.177,0.312214,,
0.178,0.310383,,
0.178,0.30672,,
0.178,0.299396,,
0.179,0.292071,,
0.179,0.29024,,
0.180,0.292071,,
0.180,0.295733,,
0.180,0.297565,,
0.181,0.299396,,
